;155397;603001;BACK;;NONISEC ADULTO ANAT. PLUS G 140mm;0;:;10;3x1;3x1;3x1;1;:;5;4;:;35;40000;145;642;665;20;3,0%;MO;GALVAN;1;1/10/2020;;155397;603001;BACK;;NONISEC ADULTO ANAT. PLUS G 140mm;0;:;10;3x1;3x1;3x1;1;:;5;4;:;35;40000;145;642;665;20;3,0%;MO;GALVAN;1;1/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;310107;602195;TOALLITAS;;BSP PADFEMMIMP9 X 8;0;:;15;;;;0;:;50;1;:;0;14500;242;532;553;30;5,4%;RB;CORVALAN;0,5;1/10/2020;;XXX;XXX;TPM;;TPM TECNICO COMEXI;;:;;;;;;:;;5;:;30;;0;;;;0,0%;;;;2/10/2020;;155933;602689;FILM;;LAMINA MERCADO LIBRE Nº3;0;:;50;3;3;3;1;:;30;4;:;0;65000;271;4358;4368;35;0,8%;RT;GOMEZ W.;1;5/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;155913;602207;TOALLITAS;;TH NOS B NOCHES X 14 (110240);;:;;;;;;:;;0;:;20;2500;125;85;85;0;0,0%;RT;REYES;;1/10/2020;;155590;602638;BACK;;FRONTAL NONISEC ULTRA X 140 MM;0;:;10;1;;;0;:;5;3;:;55;95300;406;1519;1530;35;2,3%;RT;GIMENEZ;1;2/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;155692;602569;TOALLITAS;;KOTEX BAZOOK X 60;0;:;20;8;;3;0;:;50;0;:;55;17100;311;473;473;20;4,2%;RB;CORVALAN;1;1/10/2020;;156176;602873;PAÑAL;;ADULTO ANATOMICO PLUS G X 8;0;:;30;7;7;7;0;:;40;1;:;20;18000;225;860;989;45;4,6%;RT;KUHN;1;2/10/2020;;155933;602689;FILM;;LAMINA MERCADO LIBRE Nº3;;:;;;;;;:;;0;:;30;7300;243;363;360;0;0,0%;RB;DIAZ J.;;6/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;155682;602225;TOALLITAS;;NOSOTRAS PD CORTO FE X 40 (106045);0;:;40;6;6;;0;:;40;1;:;50;32000;291;645;661;18;2,7%;RT;REYES;1;1/10/2020;;310063;601669;BACK;;IMPRESO ZALEA NONISEC X 590MM corte en linea;0;:;10;1;;1;0;:;10;3;:;30;78600;374;1057;1060;15;1,4%;RT;GIMENEZ;1;2/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;XXX;XXX;PRUEBAS;;PRUEBAS PROYECTO FEM CARE;;;;;;;;:;;1;:;45;;;;;0;;;;;1/10/2020;;XXX;XXXX;PRUEBAS;;PRUEBAS DE TINTAS;;:;;;;;;:;;0;:;10;;0;;;;0,0%;RB;MARINO;;2/10/2020;;155934;602890;FILM;;LAMINA MERCADO LIBRE Nº5;0;:;15;3;;;0;:;15;3;:;0;38000;211;2289;2317;35;1,5%;RB;BENNA;1;8/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;155885;600687;TOALLITAS;;NOSOTRAS ALAS TELA GEL C/A X 8;0;:;20;6;;1;1;:;5;2;:;15;38000;281;1338;1375;20;1,5%;RT;REYES;1;1/10/2020;;310063;601669;BACK;;IMPRESO ZALEA NONISEC X 590MM corte en linea;;:;;;;;;:;;0;:;40;17000;425;152;153;2;1,3%;RB;GIMENEZ;;2/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;153786;601808;YOGUR;;YOGUR ILOLAY PARC DESC VAINILLA;0;:;20;5;;3;0;:;40;1;:;5;18700;288;1095;1197;102;8,5%;RB;CORVALAN;1;1/10/2020;;XXX;XXXX;PRUEBAS;;PRUEBAS DE TINTAS;;:;;;;;;:;;2;:;20;;0;;;;0,0%;;;;2/10/2020;;155934;602890;FILM;;LAMINA MERCADO LIBRE Nº5;;:;;;;;;:;;4;:;0;66000;275;4523;4508;0;0,0%;MO;BENNA;;8/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;312195;602195;TOALLITAS;;BSP PADFEMMIMP9 X 8;0;:;50;7;7;2;;:;;;:;;;;;;0;;RT;REYES;0,5;1/10/2020;;155484;603010;FILM;;RC LAM 3X120 PAÑOS;0;:;20;7;7;7;3;:;0;;:;;;;;;0;;RB;GIMENEZ;1;2/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;153786;601808;YOGUR;;YOGUR ILOLAY PARC DESC VAINILLA;;:;;;;;;:;;0;:;30;9000;300;473;476;0;0,0%;MO;TEVEZ;;1/10/2020;;156174;602871;PAÑAL;;ADULTO ANATOMICO PLUS G X 16;0;:;15;7;;;0;:;25;0;:;50;15000;300;707;703;0;0,0%;RB;MARINO;1;2/10/2020;;155955;602688;FILM;;LAMINA MERCADO LIBRE Nº2;;:;;;;;;:;;3;:;30;40000;190;2021;2007;0;0,0%;RB;MARINO;;9/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;310107;602195;TOALLITAS;;BSP PADFEMMIMP9 X 8;0;:;15;;;;0;:;50;1;:;0;14500;242;532;553;30;5,4%;RB;CORVALAN;0,5;1/10/2020;;155484;603010;FILM;;RC LAM 3X120 PAÑOS;;:;;;;;0;:;10;2;:;0;33000;275;1111;1269;0;0,0%;RB;GALVAN;;2/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;155814;601934;LEC;;SUIPACHENSE YEF;0;:;25;6;2;3;0;:;30;2;:;5;30000;240;1680;1740;50;2,9%;MO;TEVEZ;1;1/10/2020;;155979;602380;YOGUR;;MILKAUT DESC FRUTILLA;0;:;20;6;;;0;:;25;2;:;45;51000;309;2925;3002;80;2,7%;RB;MARINO;1;2/10/2020;;155955;602688;FILM;;LAMINA MERCADO LIBRE Nº2;;:;;;;;;:;;2;:;30;37000;247;1971;1951;0;0,0%;RB;MARINO;;10/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;155692;602569;TOALLITAS;;KOTEX BAZOOK X 60;0;:;20;8;;3;0;:;50;0;:;55;17100;311;473;473;20;4,2%;RB;CORVALAN;1;1/10/2020;;156181;602039;PAÑAL;;ODLIGTH XG X 36;0;:;35;7;7;7;0;:;45;0;:;30;3200;107;;301;60;19,9%;RB;GALVAN;1;2/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;155751;601991;YOGUR;;TREGAR YOGUR BEBIBLE SEMIDESC VAINILLA;0;:;25;7;;3;0;:;35;3;:;30;55000;262;3048;3096;54;1,7%;MO;TEVEZ;1;1/10/2020;;155806;600622;BACK;;LENTERDIT ROSA 145 MM;0;:;30;1;;;;:;;;:;;;0;;;;0,0%;RB;MARINO;0,5;2/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;XXX;XXX;PRUEBAS;;PRUEBAS PROYECTO FEM CARE;;;;;;;;:;;1;:;45;;;;;0;;;;;1/10/2020;;156181;602039;PAÑAL;;ODLIGTH XG X 36;;:;;;;;;:;;0;:;25;7800;312;530;341;50;14,7%;MO;GALVAN;;2/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;155751;601991;YOGUR;;TREGAR YOGUR BEBIBLE SEMIDESC VAINILLA;;:;;;;;;:;;1;:;50;22000;200;1240;1240;15;1,2%;RT;REYES;;2/10/2020;;155806;600622;BACK;;LENTERDIT ROSA 145 MM;0;:;15;;;;0;:;20;7;:;25;200000;449;3583;3659;80;2,2%;MO;HAEDO;0,5;2/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;153786;601808;YOGUR;;YOGUR ILOLAY PARC DESC VAINILLA;0;:;20;5;;3;0;:;40;1;:;5;18700;288;1095;1197;102;8,5%;RB;CORVALAN;1;1/10/2020;;156180;602054;PAÑAL;;OLDLIGHT M X 68;0;:;20;7;7;;0;:;15;0;:;45;15700;349;746;800;40;5,0%;MO;GALVAN;1;2/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;155750;601990;LEC;;TREGAR YOGUR BEBIBLE SEMIDESC FRUTILLA;0;:;20;7;;;0;:;15;2;:;50;49000;288;2763;2753;30;1,1%;RT;REYES;1;2/10/2020;;155806;600622;BACK;;LENTERDIT ROSA 145 MM;;:;;;;;;:;;8;:;0;185000;385;3307;3291;35;1,1%;RT;KUHN;;3/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;153786;601808;YOGUR;;YOGUR ILOLAY PARC DESC VAINILLA;;:;;;;;;:;;0;:;30;9000;300;473;476;0;0,0%;MO;TEVEZ;;1/10/2020;;156183;602042;PAÑAL;;ODLIGTH XXG X 17;0;:;15;7;;;0;:;15;0;:;25;10000;400;370;393;37;9,4%;MO;GALVAN;1;2/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;310110;602858;LLEC;;SUIPACHENSE LECHE EN POLVO X 400;0;:;45;6;6;6;1;:;0;1;:;0;10000;167;;;20;;RT;REYES;1;2/10/2020;;155806;600622;BACK;;LENTERDIT ROSA 145 MM;;:;;;;;;:;;4;:;15;96500;378;1753;1766;22;1,2%;RB;MARINO;;5/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
